,Year,Genres,Unique_Songs
0,1958,country,20
1,1958,rock,49
2,1958,soul,162
3,1959,country,90
4,1959,pop,2
5,1959,rap,13
6,1959,rock,48
7,1959,soul,635
8,1960,country,106
9,1960,rap,9
10,1960,rock,59
11,1960,soul,761
12,1961,country,31
13,1961,rap,13
14,1961,rock,51
15,1961,soul,861
16,1962,country,16
17,1962,r&b,3
18,1962,rap,36
19,1962,rock,81
20,1962,soul,884
21,1963,country,43
22,1963,rap,18
23,1963,rock,126
24,1963,soul,887
25,1964,country,73
26,1964,pop,6
27,1964,rap,22
28,1964,rock,481
29,1964,soul,1102
30,1965,country,78
31,1965,pop,26
32,1965,rap,46
33,1965,rock,525
34,1965,soul,847
35,1966,country,52
36,1966,pop,67
37,1966,rap,23
38,1966,rock,622
39,1966,soul,913
40,1967,country,35
41,1967,pop,74
42,1967,rock,603
43,1967,soul,1115
44,1968,country,27
45,1968,pop,57
46,1968,rap,1
47,1968,rock,552
48,1968,soul,1302
49,1969,country,61
50,1969,pop,39
51,1969,rap,35
52,1969,rock,640
53,1969,soul,1275
54,1970,country,131
55,1970,pop,46
56,1970,rap,15
57,1970,rock,674
58,1970,soul,1164
59,1971,country,164
60,1971,pop,65
61,1971,r&b,9
62,1971,rap,11
63,1971,rock,791
64,1971,soul,1152
65,1972,country,46
66,1972,pop,136
67,1972,r&b,45
68,1972,rock,1109
69,1972,soul,1241
70,1973,country,109
71,1973,pop,57
72,1973,r&b,7
73,1973,rock,1002
74,1973,soul,1477
75,1974,country,151
76,1974,pop,38
77,1974,rock,978
78,1974,soul,1384
79,1975,country,138
80,1975,pop,20
81,1975,r&b,44
82,1975,rock,911
83,1975,soul,925
84,1976,country,100
85,1976,pop,36
86,1976,rock,1141
87,1976,soul,879
88,1977,country,157
89,1977,pop,34
90,1977,r&b,11
91,1977,rap,13
92,1977,rock,1159
93,1977,soul,740
94,1978,country,133
95,1978,pop,55
96,1978,r&b,21
97,1978,rap,21
98,1978,rock,1318
99,1978,soul,523
100,1979,country,189
101,1979,pop,74
102,1979,r&b,71
103,1979,rap,33
104,1979,rock,1245
105,1979,soul,505
106,1980,country,275
107,1980,pop,48
108,1980,r&b,87
109,1980,rap,10
110,1980,rock,1378
111,1980,soul,754
112,1981,country,332
113,1981,pop,7
114,1981,r&b,57
115,1981,rap,9
116,1981,rock,1423
117,1981,soul,585
118,1982,country,263
119,1982,pop,16
120,1982,r&b,40
121,1982,rap,18
122,1982,rock,1638
123,1982,soul,535
124,1983,country,110
125,1983,pop,144
126,1983,r&b,191
127,1983,rap,4
128,1983,rock,1762
129,1983,soul,503
130,1984,country,47
131,1984,pop,182
132,1984,r&b,106
133,1984,rock,1632
134,1984,soul,395
135,1985,country,16
136,1985,pop,170
137,1985,r&b,284
138,1985,rap,9
139,1985,rock,1469
140,1985,soul,537
141,1986,country,18
142,1986,pop,196
143,1986,r&b,286
144,1986,rap,30
145,1986,rock,1641
146,1986,soul,389
147,1987,country,18
148,1987,pop,227
149,1987,r&b,282
150,1987,rap,98
151,1987,rock,1510
152,1987,soul,442
153,1988,pop,219
154,1988,r&b,331
155,1988,rap,134
156,1988,rock,1439
157,1988,soul,266
158,1989,country,6
159,1989,pop,208
160,1989,r&b,312
161,1989,rap,192
162,1989,rock,1344
163,1989,soul,93
164,1990,country,35
165,1990,pop,242
166,1990,r&b,572
167,1990,rap,153
168,1990,rock,924
169,1990,soul,129
170,1991,country,44
171,1991,pop,253
172,1991,r&b,626
173,1991,rap,207
174,1991,rock,933
175,1991,soul,135
176,1992,country,65
177,1992,pop,372
178,1992,r&b,896
179,1992,rap,362
180,1992,rock,976
181,1992,soul,141
182,1993,country,174
183,1993,pop,575
184,1993,r&b,1060
185,1993,rap,657
186,1993,rock,711
187,1993,soul,195
188,1994,country,196
189,1994,pop,485
190,1994,r&b,1040
191,1994,rap,535
192,1994,rock,770
193,1994,soul,223
194,1995,country,89
195,1995,pop,493
196,1995,r&b,1186
197,1995,rap,657
198,1995,rock,561
199,1995,soul,134
200,1996,country,92
201,1996,pop,405
202,1996,r&b,1206
203,1996,rap,592
204,1996,rock,595
205,1996,soul,134
206,1997,country,165
207,1997,pop,433
208,1997,r&b,1255
209,1997,rap,626
210,1997,rock,343
211,1997,soul,139
212,1998,country,579
213,1998,pop,567
214,1998,r&b,1027
215,1998,rap,637
216,1998,rock,293
217,1998,soul,45
218,1999,country,1218
219,1999,pop,701
220,1999,r&b,1156
221,1999,rap,442
222,1999,rock,360
223,1999,soul,63
224,2000,country,1146
225,2000,pop,859
226,2000,r&b,1159
227,2000,rap,574
228,2000,rock,389
229,2000,soul,107
230,2001,country,1057
231,2001,pop,845
232,2001,r&b,1234
233,2001,rap,735
234,2001,rock,282
235,2001,soul,124
236,2002,country,967
237,2002,pop,1023
238,2002,r&b,1136
239,2002,rap,900
240,2002,rock,453
241,2002,soul,96
242,2003,country,986
243,2003,pop,948
244,2003,r&b,1125
245,2003,rap,966
246,2003,rock,421
247,2003,soul,73
248,2004,country,992
249,2004,pop,935
250,2004,r&b,937
251,2004,rap,1136
252,2004,rock,302
253,2004,soul,67
254,2005,country,1036
255,2005,pop,1371
256,2005,r&b,1123
257,2005,rap,1270
258,2005,rock,362
259,2005,soul,57
260,2006,country,957
261,2006,pop,1406
262,2006,r&b,1036
263,2006,rap,950
264,2006,rock,238
265,2006,soul,38
266,2007,country,956
267,2007,pop,1910
268,2007,r&b,969
269,2007,rap,1058
270,2007,rock,154
271,2007,soul,2
272,2008,country,903
273,2008,pop,2099
274,2008,r&b,1058
275,2008,rap,878
276,2008,rock,151
277,2008,soul,3
278,2009,country,1013
279,2009,pop,2255
280,2009,r&b,921
281,2009,rap,725
282,2009,rock,146
283,2009,soul,35
284,2010,country,1107
285,2010,pop,2320
286,2010,r&b,671
287,2010,rap,866
288,2010,rock,50
289,2010,soul,9
290,2011,country,1249
291,2011,pop,2505
292,2011,r&b,596
293,2011,rap,926
294,2011,rock,111
295,2011,soul,1
296,2012,country,1147
297,2012,pop,2580
298,2012,r&b,516
299,2012,rap,1006
300,2012,rock,74
301,2013,country,1130
302,2013,pop,2283
303,2013,r&b,425
304,2013,rap,1075
305,2013,rock,72
306,2013,soul,2
307,2014,country,1131
308,2014,pop,2648
309,2014,r&b,503
310,2014,rap,773
311,2014,rock,35
312,2014,soul,24
313,2015,country,892
314,2015,pop,2546
315,2015,r&b,338
316,2015,rap,1156
317,2015,rock,22
318,2015,soul,2
319,2016,country,731
320,2016,pop,2553
321,2016,r&b,342
322,2016,rap,1459
323,2016,rock,112
324,2017,country,604
325,2017,pop,1991
326,2017,r&b,157
327,2017,rap,1734
328,2017,rock,13
329,2018,country,410
330,2018,pop,1790
331,2018,r&b,176
332,2018,rap,1935
333,2018,rock,46
334,2018,soul,2
335,2019,country,703
336,2019,pop,2897
337,2019,r&b,199
338,2019,rap,1990
339,2019,rock,2
340,2019,soul,3
