,Performer_x,Year,Peak Position,Song_x,total_weeks
0,Brad Paisley,1999,30,He Didn't Have To Be,543
1,Brad Paisley,2000,29,We Danced,543
2,Brad Paisley,2001,29,We Danced,543
3,Brad Paisley,2002,29,I'm Gonna Miss Her (The Fishin' Song),543
4,Brad Paisley,2003,31,Celebrity,543
5,Brad Paisley,2004,35,Little Moments,543
6,Brad Paisley,2005,28,Alcohol,543
7,Brad Paisley,2006,35,She's Everything,543
8,Brad Paisley,2007,35,She's Everything,543
9,Brad Paisley,2008,33,I'm Still A Guy,543
10,Brad Paisley,2009,28,Then,543
11,Brad Paisley,2010,42,Water,543
12,Brad Paisley,2011,48,Anything Like Me,543
13,Brad Paisley,2012,68,Southern Comfort Zone,543
14,Brad Paisley,2013,46,Beat This Summer,543
15,Brad Paisley,2014,52,Perfect Storm,543
16,Brad Paisley,2015,52,Perfect Storm,543
17,Brad Paisley,2016,70,Today,543
18,Brad Paisley,2017,67,Today,543
19,Chicago,1969,71,Questions 67 And 68,546
20,Chicago,1970,4,25 Or 6 To 4,546
21,Chicago,1971,7,Beginnings/Colour My World,546
22,Chicago,1972,3,Saturday In The Park,546
23,Chicago,1973,4,Just You 'n' Me,546
24,Chicago,1974,4,Just You 'n' Me,546
25,Chicago,1975,5,Old Days,546
26,Chicago,1976,1,If You Leave Me Now,546
27,Chicago,1977,1,If You Leave Me Now,546
28,Chicago,1978,4,"Baby, What A Big Surprise",546
29,Chicago,1979,14,Alive Again,546
30,Chicago,1980,56,Thunder And Lightning,546
31,Chicago,1982,1,Hard To Say I'm Sorry,546
32,Chicago,1983,22,Love Me Tomorrow,546
33,Chicago,1984,3,Hard Habit To Break,546
34,Chicago,1985,3,Hard Habit To Break,546
35,Chicago,1986,36,Will You Still Love Me?,546
36,Chicago,1987,3,Will You Still Love Me?,546
37,Chicago,1988,1,Look Away,546
38,Chicago,1989,1,Look Away,546
39,Chicago,1990,5,What Kind Of Man Would I Be?,546
40,Chicago,1991,39,Chasin' The Wind,546
41,Elton John,1970,29,Your Song,812
42,Elton John,1971,8,Your Song,812
43,Elton John,1972,6,Rocket Man,812
44,Elton John,1973,1,Crocodile Rock,812
45,Elton John,1974,1,Bennie And The Jets,812
46,Elton John,1975,1,Island Girl,812
47,Elton John,1976,1,Island Girl,812
48,Elton John,1977,6,Sorry Seems To Be The Hardest Word,812
49,Elton John,1978,22,Part-Time Love,812
50,Elton John,1979,9,Mama Can't Buy You Love,812
51,Elton John,1980,3,Little Jeannie,812
52,Elton John,1981,21,Nobody Wins,812
53,Elton John,1982,12,Blue Eyes,812
54,Elton John,1983,11,I Guess That's Why They Call It The Blues,812
55,Elton John,1984,4,I Guess That's Why They Call It The Blues,812
56,Elton John,1985,20,Wrap Her Up,812
57,Elton John,1986,7,Nikita,812
58,Elton John,1987,13,Candle In The Wind,812
59,Elton John,1988,2,I Don't Wanna Go On With You Like That,812
60,Elton John,1989,13,Healing Hands,812
61,Elton John,1990,18,Sacrifice,812
62,Elton John,1991,43,You Gotta Love Someone,812
63,Elton John,1992,9,The One,812
64,Elton John,1993,23,The Last Song,812
65,Elton John,1994,4,"Can You Feel The Love Tonight (From ""The Lion King"")",812
66,Elton John,1995,13,Believe,812
67,Elton John,1996,34,Blessed,812
68,Elton John,1997,1,Candle In The Wind 1997/Something About The Way You Look Tonight,812
69,Elton John,1998,1,Candle In The Wind 1997/Something About The Way You Look Tonight,812
70,Elton John,2000,49,Someday Out Of The Blue,812
71,George Strait,1993,71,"Easy Come, Easy Go",546
72,George Strait,1997,59,One Night At A Time,546
73,George Strait,1998,44,We Really Shouldn't Be Doing This,546
74,George Strait,1999,27,Write This Down,546
75,George Strait,2000,31,The Best Day,546
76,George Strait,2001,34,Run,546
77,George Strait,2002,23,She'll Leave You With A Smile,546
78,George Strait,2003,23,She'll Leave You With A Smile,546
79,George Strait,2004,35,I Hate Everything,546
80,George Strait,2005,54,She Let Herself Go,546
81,George Strait,2006,35,Give It Away,546
82,George Strait,2007,49,How 'Bout Them Cowgirls,546
83,George Strait,2008,33,I Saw God Today,546
84,George Strait,2009,53,Living For The Night,546
85,George Strait,2010,63,The Breath You Take,546
86,George Strait,2011,46,Here For A Good Time,546
87,George Strait,2012,61,Love's Gonna Make It Alright,546
88,George Strait,2013,43,Give It All We Got Tonight,546
89,George Strait,2014,89,I Got A Car,546
90,Keith Urban,2000,51,Your Everything,662
91,Keith Urban,2001,35,Where The Blacktop Ends,662
92,Keith Urban,2002,23,Somebody Like You,662
93,Keith Urban,2003,30,Who Wouldn't Wanna Be Me,662
94,Keith Urban,2004,24,You'll Think Of Me,662
95,Keith Urban,2005,33,You're My Better Half,662
96,Keith Urban,2006,31,Once In A Lifetime,662
97,Keith Urban,2007,43,Stupid Boy,662
98,Keith Urban,2008,43,Sweet Thing,662
