,Performer_x,Year,Peak Position,SongID,Song_x,Genre,total_weeks
0,Carrie Underwood,2006,8,Before He CheatsCarrie Underwood,Before He Cheats,pop,64
16,Carrie Underwood,2007,8,Before He CheatsCarrie Underwood,Before He Cheats,pop,64
64,OneRepublic,2013,2,Counting StarsOneRepublic,Counting Stars,pop,68
87,OneRepublic,2014,2,Counting StarsOneRepublic,Counting Stars,pop,68
132,Jewel,1996,2,Foolish Games/You Were Meant For MeJewel,Foolish Games/You Were Meant For Me,rock,65
136,Jewel,1997,2,Foolish Games/You Were Meant For MeJewel,Foolish Games/You Were Meant For Me,rock,65
180,Jewel,1998,2,Foolish Games/You Were Meant For MeJewel,Foolish Games/You Were Meant For Me,rock,65
197,The Lumineers,2012,3,Ho HeyThe Lumineers,Ho Hey,rock,62
211,The Lumineers,2013,3,Ho HeyThe Lumineers,Ho Hey,rock,62
259,LeAnn Rimes,1997,2,How Do I LiveLeAnn Rimes,How Do I Live,country,69
275,LeAnn Rimes,1998,2,How Do I LiveLeAnn Rimes,How Do I Live,country,69
328,Jason Mraz,2008,6,I'm YoursJason Mraz,I'm Yours,pop,76
350,Jason Mraz,2009,6,I'm YoursJason Mraz,I'm Yours,pop,76
404,LMFAO Featuring Lauren Bennett & GoonRock,2011,1,Party Rock AnthemLMFAO Featuring Lauren Bennett & GoonRock,Party Rock Anthem,pop,68
443,LMFAO Featuring Lauren Bennett & GoonRock,2012,1,Party Rock AnthemLMFAO Featuring Lauren Bennett & GoonRock,Party Rock Anthem,pop,68
472,Imagine Dragons,2012,3,RadioactiveImagine Dragons,Radioactive,rock,87
488,Imagine Dragons,2013,3,RadioactiveImagine Dragons,Radioactive,rock,87
540,Imagine Dragons,2014,3,RadioactiveImagine Dragons,Radioactive,rock,87
559,Adele,2010,1,Rolling In The DeepAdele,Rolling In The Deep,pop,65
560,Adele,2011,1,Rolling In The DeepAdele,Rolling In The Deep,pop,65
609,Adele,2012,1,Rolling In The DeepAdele,Rolling In The Deep,pop,65
624,AWOLNATION,2011,17,SailAWOLNATION,Sail,rock,79
640,AWOLNATION,2012,17,SailAWOLNATION,Sail,rock,79
644,AWOLNATION,2013,17,SailAWOLNATION,Sail,rock,79
691,AWOLNATION,2014,17,SailAWOLNATION,Sail,rock,79
